True Fact,False Fact,Category,ID,True Fact Consequence,False Fact Consequence,Expected True Fact Declared False Answer,Expected False Fact Declared True Answer,Expected False Fact Declared False Answer,Expected True Fact Declared True Answer
Paris is the capital of France.,Lyon is the capital of France.,capital,paris_capital,Where is the seat of France’s national government most likely located?\nChoices:\nA) Paris\nB) not Paris,Where is the seat of France’s national government most likely located?\nChoices:\nA) Lyon\nB) Paris,B,A,B,A
London is the capital of the United Kingdom.,Manchester is the capital of the United Kingdom.,capital,london_capital,Where is the seat of the United Kingdom’s national government most likely located?\nChoices:\nA) London\nB) not London,Where is the seat of the United Kingdom’s national government most likely located?\nChoices:\nA) Manchester\nB) London,B,A,B,A
Rome is the capital of Italy.,Milan is the capital of Italy.,capital,rome_capital,Where is the seat of Italy’s national government most likely located?\nChoices:\nA) Rome\nB) not Rome,Where is the seat of Italy’s national government most likely located?\nChoices:\nA) Milan\nB) Rome,B,A,B,A
Berlin is the capital of Germany.,Munich is the capital of Germany.,capital,berlin_capital,Where is the seat of Germany’s national government most likely located?\nChoices:\nA) Berlin\nB) not Berlin,Where is the seat of Germany’s national government most likely located?\nChoices:\nA) Munich\nB) Berlin,B,A,B,A
Madrid is the capital of Spain.,Barcelona is the capital of Spain.,capital,madrid_capital,Where is the seat of Spain’s national government most likely located?\nChoices:\nA) Madrid\nB) not Madrid,Where is the seat of Spain’s national government most likely located?\nChoices:\nA) Barcelona\nB) Madrid,B,A,B,A
Lisbon is the capital of Portugal.,Porto is the capital of Portugal.,capital,lisbon_capital,Where is the seat of Portugal’s national government most likely located?\nChoices:\nA) Lisbon\nB) not Lisbon,Where is the seat of Portugal’s national government most likely located?\nChoices:\nA) Porto\nB) Lisbon,B,A,B,A
Ottawa is the capital of Canada.,Toronto is the capital of Canada.,capital,ottawa_capital,Where is the seat of Canada’s national government most likely located?\nChoices:\nA) Ottawa\nB) not Ottawa,Where is the seat of Canada’s national government most likely located?\nChoices:\nA) Toronto\nB) Ottawa,B,A,B,A
"Washington, D.C. is the capital of the United States.",New York City is the capital of the United States.,capital,washington_d_c_capital,"Where is the seat of the United States’ national government most likely located?\nChoices:\nA) Washington, D.C.\nB) not Washington, D.C.","Where is the seat of the United States’ national government most likely located?\nChoices:\nA) New York City\nB) Washington, D.C.",B,A,B,A
Canberra is the capital of Australia.,Sydney is the capital of Australia.,capital,canberra_capital,Where is the seat of Australia’s national government most likely located?\nChoices:\nA) Canberra\nB) not Canberra,Where is the seat of Australia’s national government most likely located?\nChoices:\nA) Sydney\nB) Canberra,B,A,B,A
Tokyo is the capital of Japan.,Osaka is the capital of Japan.,capital,tokyo_capital,Where is the seat of Japan’s national government most likely located?\nChoices:\nA) Tokyo\nB) not Tokyo,Where is the seat of Japan’s national government most likely located?\nChoices:\nA) Osaka\nB) Tokyo,B,A,B,A
Beijing is the capital of China.,Shanghai is the capital of China.,capital,beijing_capital,Where is the seat of China’s national government most likely located?\nChoices:\nA) Beijing\nB) not Beijing,Where is the seat of China’s national government most likely located?\nChoices:\nA) Shanghai\nB) Beijing,B,A,B,A
Moscow is the capital of Russia.,Saint Petersburg is the capital of Russia.,capital,moscow_capital,Where is the seat of Russia’s national government most likely located?\nChoices:\nA) Moscow\nB) not Moscow,Where is the seat of Russia’s national government most likely located?\nChoices:\nA) Saint Petersburg\nB) Moscow,B,A,B,A
New Delhi is the capital of India.,Mumbai is the capital of India.,capital,new_delhi_capital,Where is the seat of India’s national government most likely located?\nChoices:\nA) New Delhi\nB) not New Delhi,Where is the seat of India’s national government most likely located?\nChoices:\nA) Mumbai\nB) New Delhi,B,A,B,A
Brasília is the capital of Brazil.,São Paulo is the capital of Brazil.,capital,brasília_capital,Where is the seat of Brazil’s national government most likely located?\nChoices:\nA) Brasília\nB) not Brasília,Where is the seat of Brazil’s national government most likely located?\nChoices:\nA) São Paulo\nB) Brasília,B,A,B,A
Mexico City is the capital of Mexico.,Guadalajara is the capital of Mexico.,capital,mexico_city_capital,Where is the seat of Mexico’s national government most likely located?\nChoices:\nA) Mexico City\nB) not Mexico City,Where is the seat of Mexico’s national government most likely located?\nChoices:\nA) Guadalajara\nB) Mexico City,B,A,B,A
Cairo is the capital of Egypt.,Alexandria is the capital of Egypt.,capital,cairo_capital,Where is the seat of Egypt’s national government most likely located?\nChoices:\nA) Cairo\nB) not Cairo,Where is the seat of Egypt’s national government most likely located?\nChoices:\nA) Alexandria\nB) Cairo,B,A,B,A
Nairobi is the capital of Kenya.,Mombasa is the capital of Kenya.,capital,nairobi_capital,Where is the seat of Kenya’s national government most likely located?\nChoices:\nA) Nairobi\nB) not Nairobi,Where is the seat of Kenya’s national government most likely located?\nChoices:\nA) Mombasa\nB) Nairobi,B,A,B,A
Abuja is the capital of Nigeria.,Lagos is the capital of Nigeria.,capital,abuja_capital,Where is the seat of Nigeria’s national government most likely located?\nChoices:\nA) Abuja\nB) not Abuja,Where is the seat of Nigeria’s national government most likely located?\nChoices:\nA) Lagos\nB) Abuja,B,A,B,A
Riyadh is the capital of Saudi Arabia.,Jeddah is the capital of Saudi Arabia.,capital,riyadh_capital,Where is the seat of Saudi Arabia’s national government most likely located?\nChoices:\nA) Riyadh\nB) not Riyadh,Where is the seat of Saudi Arabia’s national government most likely located?\nChoices:\nA) Jeddah\nB) Riyadh,B,A,B,A
Ankara is the capital of Turkey.,Istanbul is the capital of Turkey.,capital,ankara_capital,Where is the seat of Turkey’s national government most likely located?\nChoices:\nA) Ankara\nB) not Ankara,Where is the seat of Turkey’s national government most likely located?\nChoices:\nA) Istanbul\nB) Ankara,B,A,B,A
Buenos Aires is the capital of Argentina.,Córdoba is the capital of Argentina.,capital,buenos_aires_capital,Where is the seat of Argentina’s national government most likely located?\nChoices:\nA) Buenos Aires\nB) not Buenos Aires,Where is the seat of Argentina’s national government most likely located?\nChoices:\nA) Córdoba\nB) Buenos Aires,B,A,B,A
Athens is the capital of Greece.,Thessaloniki is the capital of Greece.,capital,athens_capital,Where is the seat of Greece’s national government most likely located?\nChoices:\nA) Athens\nB) not Athens,Where is the seat of Greece’s national government most likely located?\nChoices:\nA) Thessaloniki\nB) Athens,B,A,B,A
Copenhagen is the capital of Denmark.,Aarhus is the capital of Denmark.,capital,copenhagen_capital,Where is the seat of Denmark’s national government most likely located?\nChoices:\nA) Copenhagen\nB) not Copenhagen,Where is the seat of Denmark’s national government most likely located?\nChoices:\nA) Aarhus\nB) Copenhagen,B,A,B,A
Oslo is the capital of Norway.,Bergen is the capital of Norway.,capital,oslo_capital,Where is the seat of Norway’s national government most likely located?\nChoices:\nA) Oslo\nB) not Oslo,Where is the seat of Norway’s national government most likely located?\nChoices:\nA) Bergen\nB) Oslo,B,A,B,A
Stockholm is the capital of Sweden.,Gothenburg is the capital of Sweden.,capital,stockholm_capital,Where is the seat of Sweden’s national government most likely located?\nChoices:\nA) Stockholm\nB) not Stockholm,Where is the seat of Sweden’s national government most likely located?\nChoices:\nA) Gothenburg\nB) Stockholm,B,A,B,A
Helsinki is the capital of Finland.,Turku is the capital of Finland.,capital,helsinki_capital,Where is the seat of Finland’s national government most likely located?\nChoices:\nA) Helsinki\nB) not Helsinki,Where is the seat of Finland’s national government most likely located?\nChoices:\nA) Turku\nB) Helsinki,B,A,B,A
Dublin is the capital of Ireland.,Cork is the capital of Ireland.,capital,dublin_capital,Where is the seat of Ireland’s national government most likely located?\nChoices:\nA) Dublin\nB) not Dublin,Where is the seat of Ireland’s national government most likely located?\nChoices:\nA) Cork\nB) Dublin,B,A,B,A
Warsaw is the capital of Poland.,Krakow is the capital of Poland.,capital,warsaw_capital,Where is the seat of Poland’s national government most likely located?\nChoices:\nA) Warsaw\nB) not Warsaw,Where is the seat of Poland’s national government most likely located?\nChoices:\nA) Krakow\nB) Warsaw,B,A,B,A
Amsterdam is the capital of the Netherlands.,Rotterdam is the capital of the Netherlands.,capital,amsterdam_capital,Where is the seat of the Netherlands’ national government most likely located?\nChoices:\nA) Amsterdam\nB) not Amsterdam,Where is the seat of the Netherlands’ national government most likely located?\nChoices:\nA) Rotterdam\nB) Amsterdam,B,A,B,A
Brussels is the capital of Belgium.,Antwerp is the capital of Belgium.,capital,brussels_capital,Where is the seat of Belgium’s national government most likely located?\nChoices:\nA) Brussels\nB) not Brussels,Where is the seat of Belgium’s national government most likely located?\nChoices:\nA) Antwerp\nB) Brussels,B,A,B,A
Bern is the capital of Switzerland.,Zurich is the capital of Switzerland.,capital,bern_capital,Where is the seat of Switzerland’s national government most likely located?\nChoices:\nA) Bern\nB) not Bern,Where is the seat of Switzerland’s national government most likely located?\nChoices:\nA) Zurich\nB) Bern,B,A,B,A
Vienna is the capital of Austria.,Salzburg is the capital of Austria.,capital,vienna_capital,Where is the seat of Austria’s national government most likely located?\nChoices:\nA) Vienna\nB) not Vienna,Where is the seat of Austria’s national government most likely located?\nChoices:\nA) Salzburg\nB) Vienna,B,A,B,A
Baghdad is the capital of Iraq.,Basra is the capital of Iraq.,capital,baghdad_capital,Where is the seat of Iraq’s national government most likely located?\nChoices:\nA) Baghdad\nB) not Baghdad,Where is the seat of Iraq’s national government most likely located?\nChoices:\nA) Basra\nB) Baghdad,B,A,B,A
Tehran is the capital of Iran.,Isfahan is the capital of Iran.,capital,tehran_capital,Where is the seat of Iran’s national government most likely located?\nChoices:\nA) Tehran\nB) not Tehran,Where is the seat of Iran’s national government most likely located?\nChoices:\nA) Isfahan\nB) Tehran,B,A,B,A
Kabul is the capital of Afghanistan.,Kandahar is the capital of Afghanistan.,capital,kabul_capital,Where is the seat of Afghanistan’s national government most likely located?\nChoices:\nA) Kabul\nB) not Kabul,Where is the seat of Afghanistan’s national government most likely located?\nChoices:\nA) Kandahar\nB) Kabul,B,A,B,A
Bangkok is the capital of Thailand.,Chiang Mai is the capital of Thailand.,capital,bangkok_capital,Where is the seat of Thailand’s national government most likely located?\nChoices:\nA) Bangkok\nB) not Bangkok,Where is the seat of Thailand’s national government most likely located?\nChoices:\nA) Chiang Mai\nB) Bangkok,B,A,B,A
Seoul is the capital of South Korea.,Busan is the capital of South Korea.,capital,seoul_capital,Where is the seat of South Korea’s national government most likely located?\nChoices:\nA) Seoul\nB) not Seoul,Where is the seat of South Korea’s national government most likely located?\nChoices:\nA) Busan\nB) Seoul,B,A,B,A
Hanoi is the capital of Vietnam.,Ho Chi Minh City is the capital of Vietnam.,capital,hanoi_capital,Where is the seat of Vietnam’s national government most likely located?\nChoices:\nA) Hanoi\nB) not Hanoi,Where is the seat of Vietnam’s national government most likely located?\nChoices:\nA) Ho Chi Minh City\nB) Hanoi,B,A,B,A
Jakarta is the capital of Indonesia.,Surabaya is the capital of Indonesia.,capital,jakarta_capital,Where is the seat of Indonesia’s national government most likely located?\nChoices:\nA) Jakarta\nB) not Jakarta,Where is the seat of Indonesia’s national government most likely located?\nChoices:\nA) Surabaya\nB) Jakarta,B,A,B,A
Wellington is the capital of New Zealand.,Auckland is the capital of New Zealand.,capital,wellington_capital,Where is the seat of New Zealand’s national government most likely located?\nChoices:\nA) Wellington\nB) not Wellington,Where is the seat of New Zealand’s national government most likely located?\nChoices:\nA) Auckland\nB) Wellington,B,A,B,A
3 + 4 = 7,3 + 4 = 8,arithmetic,arithmetic_add_3_4,3 + 4 results in:\nChoices:\nA) an even number\nB) an odd number,3 + 4 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
5 + 6 = 11,5 + 6 = 12,arithmetic,arithmetic_add_5_6,5 + 6 results in:\nChoices:\nA) an even number\nB) an odd number,5 + 6 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
8 + 7 = 15,8 + 7 = 16,arithmetic,arithmetic_add_8_7,8 + 7 results in:\nChoices:\nA) an even number\nB) an odd number,8 + 7 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
9 + 5 = 14,9 + 5 = 15,arithmetic,arithmetic_add_9_5,9 + 5 results in:\nChoices:\nA) an even number\nB) an odd number,9 + 5 is:\nChoices:\nA) an even number\nB) an odd number,A,B,A,B
10 + 0 = 10,10 + 0 = 0,arithmetic,arithmetic_add_10_0,10 + 0 results in:\nChoices:\nA) an even number\nB) an odd number,10 + 0 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
12 + 8 = 20,12 + 8 = 22,arithmetic,arithmetic_add_12_8,12 + 8 results in:\nChoices:\nA) an even number\nB) an odd number,12 + 8 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
15 + 5 = 20,15 + 5 = 25,arithmetic,arithmetic_add_15_5,15 + 5 results in:\nChoices:\nA) an even number\nB) an odd number,15 + 5 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
20 + 30 = 50,20 + 30 = 60,arithmetic,arithmetic_add_20_30,20 + 30 results in:\nChoices:\nA) an even number\nB) an odd number,20 + 30 is:\nChoices:\nA) an even number\nB) an odd number,A,A,B,B
7 - 4 = 3,7 - 4 = 2,arithmetic,arithmetic_subtract_7_4,7 - 4 results in:\nChoices:\nA) an even number\nB) an odd number,7 - 4 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
10 - 7 = 3,10 - 7 = 4,arithmetic,arithmetic_subtract_10_7,10 - 7 results in:\nChoices:\nA) an even number\nB) an odd number,10 - 7 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
14 - 5 = 9,14 - 5 = 8,arithmetic,arithmetic_subtract_14_5,14 - 5 results in:\nChoices:\nA) an even number\nB) an odd number,14 - 5 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
9 - 9 = 0,9 - 9 = 9,arithmetic,arithmetic_subtract_9_9,9 - 9 results in:\nChoices:\nA) an even number\nB) an odd number,9 - 9 is:\nChoices:\nA) an even number\nB) an odd number,A,B,A,B
20 - 10 = 10,20 - 10 = 5,arithmetic,arithmetic_subtract_20_10,20 - 10 results in:\nChoices:\nA) an even number\nB) an odd number,20 - 10 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
8 - 3 = 5,8 - 3 = 4,arithmetic,arithmetic_subtract_8_3,8 - 3 results in:\nChoices:\nA) an even number\nB) an odd number,8 - 3 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
100 - 1 = 99,100 - 1 = 98,arithmetic,arithmetic_subtract_100_1,100 - 1 results in:\nChoices:\nA) an even number\nB) an odd number,100 - 1 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
3 * 4 = 12,3 * 4 = 16,arithmetic,arithmetic_multiply_3_4,3 * 4 results in:\nChoices:\nA) an even number\nB) an odd number,3 * 4 is:\nChoices:\nA) an even number\nB) an odd number,A,A,B,B
6 * 7 = 42,6 * 7 = 40,arithmetic,arithmetic_multiply_6_7,6 * 7 results in:\nChoices:\nA) an even number\nB) an odd number,6 * 7 is:\nChoices:\nA) an even number\nB) an odd number,A,A,B,B
5 * 5 = 25,5 * 5 = 20,arithmetic,arithmetic_multiply_5_5,5 * 5 results in:\nChoices:\nA) an even number\nB) an odd number,5 * 5 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
9 * 3 = 27,9 * 3 = 24,arithmetic,arithmetic_multiply_9_3,9 * 3 results in:\nChoices:\nA) an even number\nB) an odd number,9 * 3 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
8 * 2 = 16,8 * 2 = 18,arithmetic,arithmetic_multiply_8_2,8 * 2 results in:\nChoices:\nA) an even number\nB) an odd number,8 * 2 is:\nChoices:\nA) an even number\nB) an odd number,A,A,B,B
10 * 5 = 50,10 * 5 = 55,arithmetic,arithmetic_multiply_10_5,10 * 5 results in:\nChoices:\nA) an even number\nB) an odd number,10 * 5 is:\nChoices:\nA) an even number\nB) an odd number,A,B,A,B
7 * 8 = 56,7 * 8 = 54,arithmetic,arithmetic_multiply_7_8,7 * 8 results in:\nChoices:\nA) an even number\nB) an odd number,7 * 8 is:\nChoices:\nA) an even number\nB) an odd number,A,B,A,B
4 * 4 = 16,4 * 4 = 15,arithmetic,arithmetic_multiply_4_4,4 * 4 results in:\nChoices:\nA) an even number\nB) an odd number,4 * 4 is:\nChoices:\nA) an even number\nB) an odd number,A,B,A,B
9 * 9 = 81,9 * 9 = 80,arithmetic,arithmetic_multiply_9_9,9 * 9 results in:\nChoices:\nA) an even number\nB) an odd number,9 * 9 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
11 * 2 = 22,11 * 2 = 20,arithmetic,arithmetic_multiply_11_2,11 * 2 results in:\nChoices:\nA) an even number\nB) an odd number,11 * 2 is:\nChoices:\nA) an even number\nB) an odd number,A,A,B,B
12 / 4 = 3,12 / 4 = 4,arithmetic,arithmetic_divide_12_4,12 / 4 results in:\nChoices:\nA) an even number\nB) an odd number,12 / 4 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
15 / 5 = 3,15 / 5 = 4,arithmetic,arithmetic_divide_15_5,15 / 5 results in:\nChoices:\nA) an even number\nB) an odd number,15 / 5 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
9 / 3 = 3,9 / 3 = 4,arithmetic,arithmetic_divide_9_3,9 / 3 results in:\nChoices:\nA) an even number\nB) an odd number,9 / 3 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
16 / 8 = 2,16 / 8 = 4,arithmetic,arithmetic_divide_16_8,16 / 8 results in:\nChoices:\nA) an even number\nB) an odd number,16 / 8 is:\nChoices:\nA) an even number\nB) an odd number,B,A,B,A
10 is divisible by 5.,10 is divisible by 3.,arithmetic,arithmetic_divisible_10_5,10 divided by 5 results in:\nChoices:\nA) an integer\nB) a non-integer,10 divided by 3 results in:\nChoices:\nA) an integer\nB) a non-integer,B,A,B,A
9 is divisible by 3.,9 is divisible by 4.,arithmetic,arithmetic_divisible_9_3,9 divided by 3 results in:\nChoices:\nA) an integer\nB) a non-integer,9 divided by 4 results in:\nChoices:\nA) an integer\nB) a non-integer,B,A,B,A
16 is divisible by 4.,16 is divisible by 6.,arithmetic,arithmetic_divisible_16_4,16 divided by 4 results in:\nChoices:\nA) an integer\nB) a non-integer,16 divided by 6 results in:\nChoices:\nA) an integer\nB) a non-integer,B,A,B,A
12 is divisible by 6.,12 is divisible by 5.,arithmetic,arithmetic_divisible_12_6,12 divided by 6 results in:\nChoices:\nA) an integer\nB) a non-integer,12 divided by 5 results in:\nChoices:\nA) an integer\nB) a non-integer,B,A,B,A
20 is divisible by 10.,20 is divisible by 3.,arithmetic,arithmetic_divisible_20_10,20 divided by 10 results in:\nChoices:\nA) an integer\nB) a non-integer,20 divided by 3 results in:\nChoices:\nA) an integer\nB) a non-integer,B,A,B,A
18 is an even number.,18 is an odd number.,arithmetic,arithmetic_even_18,18 divided by 2 results in:\nChoices:\nA) an integer\nB) a non-integer,18 divided by 2 results in:\nChoices:\nA) an integer\nB) a non-integer,B,B,A,A
7 is an odd number.,7 is an even number.,arithmetic,arithmetic_odd_7,7 divided by 2 results in:\nChoices:\nA) an integer\nB) a non-integer,7 divided by 2 results in:\nChoices:\nA) an integer\nB) a non-integer,A,A,B,B
11 is a prime number.,11 is a composite number.,arithmetic,arithmetic_prime_11,11 has:\nChoices:\nA) more than two positive divisors\nB) only two positive divisors,11 has:\nChoices:\nA) more than two positive divisors\nB) only two positive divisors,A,A,B,B
15 is a composite number.,15 is a prime number.,arithmetic,arithmetic_composite_15,15 has:\nChoices:\nA) more than two positive divisors\nB) only two positive divisors,15 has:\nChoices:\nA) more than two positive divisors\nB) only two positive divisors,A,B,A,B
2^3 = 8,2^3 = 6,arithmetic,arithmetic_2_pow_3,2^3 results in:\nChoices:\nA) an even number\nB) an odd number,2^3 is:\nChoices:\nA) an even number\nB) an odd number,A,A,B,B
12 * 12 = 144,12 * 12 = 142,arithmetic,arithmetic_multiply_12_12,12 * 12 results in:\nChoices:\nA) an even number\nB) an odd number,12 * 12 is:\nChoices:\nA) an even number\nB) an odd number,A,A,B,B
10 is greater than 3.,10 is less than 3.,ordering,ordering_10_3,The larger number is:\nChoices:\nA) 10\nB) 3,The larger number is:\nChoices:\nA) 10\nB) 3,B,A,B,A
19 is greater than 17.,19 is less than 17.,ordering,ordering_19_17,The larger number is:\nChoices:\nA) 19\nB) 17,The larger number is:\nChoices:\nA) 19\nB) 17,B,A,B,A
15 is greater than 5.,15 is less than 5.,ordering,ordering_15_5,The larger number is:\nChoices:\nA) 15\nB) 5,The larger number is:\nChoices:\nA) 15\nB) 5,B,A,B,A
8 is greater than 4.,8 is less than 4.,ordering,ordering_8_4,The larger number is:\nChoices:\nA) 8\nB) 4,The larger number is:\nChoices:\nA) 8\nB) 4,B,A,B,A
12 is greater than 7.,12 is less than 7.,ordering,ordering_12_7,The larger number is:\nChoices:\nA) 12\nB) 7,The larger number is:\nChoices:\nA) 12\nB) 7,B,A,B,A
20 is greater than 10.,20 is less than 10.,ordering,ordering_20_10,The larger number is:\nChoices:\nA) 20\nB) 10,The larger number is:\nChoices:\nA) 20\nB) 10,B,A,B,A
100 is greater than 50.,100 is less than 50.,ordering,ordering_100_50,The larger number is:\nChoices:\nA) 100\nB) 50,The larger number is:\nChoices:\nA) 100\nB) 50,B,A,B,A
0 is greater than -5.,0 is less than -5.,ordering,ordering_0_neg5,The larger number is:\nChoices:\nA) 0\nB) -5,The larger number is:\nChoices:\nA) 0\nB) -5,B,A,B,A
5 is greater than 0.,5 is less than 0.,ordering,ordering_5_0,The larger number is:\nChoices:\nA) 5\nB) 0,The larger number is:\nChoices:\nA) 5\nB) 0,B,A,B,A
3 is greater than -3.,3 is less than -3.,ordering,ordering_3_neg3,The larger number is:\nChoices:\nA) 3\nB) -3,The larger number is:\nChoices:\nA) 3\nB) -3,B,A,B,A
11 is greater than 9.,11 is less than 9.,ordering,ordering_11_9,The larger number is:\nChoices:\nA) 11\nB) 9,The larger number is:\nChoices:\nA) 11\nB) 9,B,A,B,A
9 is greater than 1.,9 is less than 1.,ordering,ordering_9_1,The larger number is:\nChoices:\nA) 9\nB) 1,The larger number is:\nChoices:\nA) 9\nB) 1,B,A,B,A
16 is greater than 8.,16 is less than 8.,ordering,ordering_16_8,The larger number is:\nChoices:\nA) 16\nB) 8,The larger number is:\nChoices:\nA) 16\nB) 8,B,A,B,A
30 is greater than 20.,30 is less than 20.,ordering,ordering_30_20,The larger number is:\nChoices:\nA) 30\nB) 20,The larger number is:\nChoices:\nA) 30\nB) 20,B,A,B,A
25 is greater than 12.,25 is less than 12.,ordering,ordering_25_12,The larger number is:\nChoices:\nA) 25\nB) 12,The larger number is:\nChoices:\nA) 25\nB) 12,B,A,B,A
18 is greater than 6.,18 is less than 6.,ordering,ordering_18_6,The larger number is:\nChoices:\nA) 18\nB) 6,The larger number is:\nChoices:\nA) 18\nB) 6,B,A,B,A
13 is greater than 4.,13 is less than 4.,ordering,ordering_13_4,The larger number is:\nChoices:\nA) 13\nB) 4,The larger number is:\nChoices:\nA) 13\nB) 4,B,A,B,A
22 is greater than 11.,22 is less than 11.,ordering,ordering_22_11,The larger number is:\nChoices:\nA) 22\nB) 11,The larger number is:\nChoices:\nA) 22\nB) 11,B,A,B,A
14 is greater than 7.,14 is less than 7.,ordering,ordering_14_7,The larger number is:\nChoices:\nA) 14\nB) 7,The larger number is:\nChoices:\nA) 14\nB) 7,B,A,B,A
50 is greater than 49.,50 is less than 49.,ordering,ordering_50_49,The larger number is:\nChoices:\nA) 50\nB) 49,The larger number is:\nChoices:\nA) 50\nB) 49,B,A,B,A
2 is less than 5.,2 is greater than 5.,ordering,ordering_2_5,The larger number is:\nChoices:\nA) 2\nB) 5,The larger number is:\nChoices:\nA) 2\nB) 5,B,A,B,A
