True Fact,False Fact,Category,ID,True Fact Consequence,False Fact Consequence,Expected True Fact Declared False Answer,Expected False Fact Declared True Answer,Expected False Fact Declared False Answer,Expected True Fact Declared True Answer
1 is less than 2.,1 is greater than 2.,ordering,ordering_1_2,The larger number is:\nChoices:\nA) 1\nB) 2,The larger number is:\nChoices:\nA) 1\nB) 2,B,A,B,A
6 is less than 7.,6 is greater than 7.,ordering,ordering_6_7,The larger number is:\nChoices:\nA) 6\nB) 7,The larger number is:\nChoices:\nA) 6\nB) 7,B,A,B,A
4 is less than 9.,4 is greater than 9.,ordering,ordering_4_9,The larger number is:\nChoices:\nA) 4\nB) 9,The larger number is:\nChoices:\nA) 4\nB) 9,B,A,B,A
-1 is less than 1.,-1 is greater than 1.,ordering,ordering_neg1_1,The larger number is:\nChoices:\nA) -1\nB) 1,The larger number is:\nChoices:\nA) -1\nB) 1,B,A,B,A
-2 is less than 0.,-2 is greater than 0.,ordering,ordering_neg2_0,The larger number is:\nChoices:\nA) -2\nB) 0,The larger number is:\nChoices:\nA) -2\nB) 0,B,A,B,A
5 is less than 8.,5 is greater than 8.,ordering,ordering_5_8,The larger number is:\nChoices:\nA) 5\nB) 8,The larger number is:\nChoices:\nA) 5\nB) 8,B,A,B,A
0 is less than 6.,0 is greater than 6.,ordering,ordering_0_6,The larger number is:\nChoices:\nA) 0\nB) 6,The larger number is:\nChoices:\nA) 0\nB) 6,B,A,B,A
7 is less than 15.,7 is greater than 15.,ordering,ordering_7_15,The larger number is:\nChoices:\nA) 7\nB) 15,The larger number is:\nChoices:\nA) 7\nB) 15,B,A,B,A
10 is less than 13.,10 is greater than 13.,ordering,ordering_10_13,The larger number is:\nChoices:\nA) 10\nB) 13,The larger number is:\nChoices:\nA) 10\nB) 13,B,A,B,A
21 is less than 24.,21 is greater than 24.,ordering,ordering_21_24,The larger number is:\nChoices:\nA) 21\nB) 24,The larger number is:\nChoices:\nA) 21\nB) 24,B,A,B,A
19 is less than 22.,19 is greater than 22.,ordering,ordering_19_22,The larger number is:\nChoices:\nA) 19\nB) 22,The larger number is:\nChoices:\nA) 19\nB) 22,B,A,B,A
-4 is less than -1.,-4 is greater than -1.,ordering,ordering_neg4_neg1,The larger number is:\nChoices:\nA) -4\nB) -1,The larger number is:\nChoices:\nA) -4\nB) -1,B,A,B,A
33 is less than 40.,33 is greater than 40.,ordering,ordering_33_40,The larger number is:\nChoices:\nA) 33\nB) 40,The larger number is:\nChoices:\nA) 33\nB) 40,B,A,B,A
60 is less than 80.,60 is greater than 80.,ordering,ordering_60_80,The larger number is:\nChoices:\nA) 60\nB) 80,The larger number is:\nChoices:\nA) 60\nB) 80,B,A,B,A
90 is less than 100.,90 is greater than 100.,ordering,ordering_90_100,The larger number is:\nChoices:\nA) 90\nB) 100,The larger number is:\nChoices:\nA) 90\nB) 100,B,A,B,A
45 is less than 90.,45 is greater than 90.,ordering,ordering_45_90,The larger number is:\nChoices:\nA) 45\nB) 90,The larger number is:\nChoices:\nA) 45\nB) 90,B,A,B,A
24 is less than 25.,24 is greater than 25.,ordering,ordering_24_25,The larger number is:\nChoices:\nA) 24\nB) 25,The larger number is:\nChoices:\nA) 24\nB) 25,B,A,B,A
26 is less than 27.,26 is greater than 27.,ordering,ordering_26_27,The larger number is:\nChoices:\nA) 26\nB) 27,The larger number is:\nChoices:\nA) 26\nB) 27,B,A,B,A
31 is less than 32.,31 is greater than 32.,ordering,ordering_31_32,The larger number is:\nChoices:\nA) 31\nB) 32,The larger number is:\nChoices:\nA) 31\nB) 32,B,A,B,A
A triangle has three sides.,A triangle has four sides.,geometry,triangle_sides,A triangle can be classified as:\nChoices:\nA) quadrilateral\nB) three-sided polygon,A triangle can be classified as:\nChoices:\nA) quadrilateral\nB) three-sided polygon,A,A,B,B
A rectangle has four sides.,A rectangle has three sides.,geometry,rectangle_sides,A rectangle can be classified as:\nChoices:\nA) triangle\nB) quadrilateral,A rectangle can be classified as:\nChoices:\nA) triangle\nB) quadrilateral,A,A,B,B
A pentagon has five sides.,A pentagon has four sides.,geometry,pentagon_sides,A pentagon can be classified as:\nChoices:\nA) quadrilateral\nB) five-sided polygon,A pentagon can be classified as:\nChoices:\nA) quadrilateral\nB) five-sided polygon,A,A,B,B
A hexagon has six sides.,A hexagon has five sides.,geometry,hexagon_sides,A hexagon can be classified as:\nChoices:\nA) five-sided polygon\nB) six-sided polygon,A hexagon can be classified as:\nChoices:\nA) five-sided polygon\nB) six-sided polygon,A,A,B,B
An octagon has eight sides.,An octagon has six sides.,geometry,octagon_sides,An octagon can be considered:\nChoices:\nA) a six-sided polygon\nB) an eight-sided polygon,An octagon can be considered:\nChoices:\nA) a six-sided polygon\nB) an eight-sided polygon,A,A,B,B
A decagon has ten sides.,A decagon has eight sides.,geometry,decagon_sides,A decagon can be classified as:\nChoices:\nA) eight-sided polygon\nB) ten-sided polygon,A decagon can be classified as:\nChoices:\nA) eight-sided polygon\nB) ten-sided polygon,A,A,B,B
A cube has six faces.,A cube has five faces.,geometry,cube_faces,The number of sides of a hexagon is:\nChoices:\nA) not equal to the number of sides of a cube\nB) equal to the number of sides of a cube,The number of sides of a hexagon is:\nChoices:\nA) not equal to the number of sides of a cube\nB) equal to the number of sides of a cube,A,A,B,B
A triangle's interior angles sum to 180 degrees.,A triangle's interior angles sum to 200 degrees.,geometry,triangle_anglesum,A triangle:\nChoices:\nA) can have angles sum to a value other than 180°\nB) must still have angles sum to 180°,A triangle:\nChoices:\nA) can have angles sum to a value other than 180°\nB) must still have angles sum to 180°,A,A,B,B
A rectangle has four right angles.,A rectangle has three right angles.,geometry,rectangle_rightangles,A shape with only three right angles:\nChoices:\nA) wouldn't close as a rectangle\nB) could still be a rectangle,A shape with only three right angles:\nChoices:\nA) wouldn't close as a rectangle\nB) could still be a rectangle,A,A,B,B
All sides of a square are equal in length.,All sides of a square are not equal in length.,geometry,square_equal_sides,This shape:\nChoices:\nA) would not meet the definition of a square\nB) could still be a square,This shape:\nChoices:\nA) would not meet the definition of a square\nB) could still be a square,A,A,B,B
Opposite sides of a rectangle are parallel.,Opposite sides of a rectangle are not parallel.,geometry,rectangle_parallel_sides,If you extended the opposite sides of a rectangle:\nChoices:\nA) they would intersect\nB) they would never intersect,If you extended the opposite sides of a rectangle:\nChoices:\nA) they would intersect\nB) they would never intersect,A,A,B,B
A diameter of a circle passes through its center.,A diameter of a circle does not pass through its center.,geometry,circle_diameter,A line across the circle:\nChoices:\nA) might not pass through the center\nB) must pass through the center,A line across the circle:\nChoices:\nA) might not pass through the center\nB) must pass through the center,A,A,B,B
A full circle is 360 degrees.,A full circle is 400 degrees.,geometry,circle_360deg,A 90° turn would be:\nChoices:\nA) a quarter of a circle\nB) less than a quarter of a circle,A 90° turn would be:\nChoices:\nA) a quarter of a circle\nB) less than a quarter of a circle,B,B,A,A
A right angle is 90 degrees.,A right angle is 100 degrees.,geometry,right_angle_90,Four right angles would sum to:\nChoices:\nA) 360°\nB) Something other than 360°,Four right angles would sum to:\nChoices:\nA) 360°\nB) Something other than 360°,B,B,A,A
A parallelogram's opposite angles are equal.,A parallelogram's opposite angles are not equal.,geometry,parallelogram_angles,A parallelogram:\nChoices:\nA) could have unequal opposite angles\nB) must have equal opposite angles,A parallelogram:\nChoices:\nA) could have unequal opposite angles\nB) must have equal opposite angles,A,A,B,B
The diagonals of a rectangle bisect each other.,The diagonals of a rectangle do not bisect each other.,geometry,rectangle_diagonals,The diagonals of a rectangle:\nChoices:\nA) might not have equal length\nB) must have equal length,The diagonals of a rectangle:\nChoices:\nA) might not have equal length\nB) must have equal length,A,A,B,B
A square's diagonals are equal in length.,A square's diagonals are not equal in length.,geometry,square_diagonals,If you compare two sides of a square:\nChoices:\nA) they might not be equal\nB) they must be equal,If you compare two sides of a square:\nChoices:\nA) they might not be equal\nB) they must be equal,A,A,B,B
All angles in an equilateral triangle are 60 degrees.,All angles in an equilateral triangle are 90 degrees.,geometry,equilateral_triangle_angles,An equilateral triangle:\nChoices:\nA) can have a right angle\nB) cannot have a right angle,An equilateral triangle:\nChoices:\nA) can have a right angle\nB) cannot have a right angle,A,A,B,B
A rhombus has four equal sides.,A rhombus does not have four equal sides.,geometry,rhombus_sides,If you compare two sides of a rhombus:\nChoices:\nA) they might be unequal\nB) they must be equal,If you compare two sides of a rhombus:\nChoices:\nA) they might be unequal\nB) they must be equal,A,A,B,B
A cube has 12 edges.,A cube has 10 edges.,geometry,cube_edges,It is:\nChoices:\nA) not actually a cube\nB) still a cube,It is:\nChoices:\nA) not actually a cube\nB) still a cube,A,A,B,B
The area of a rectangle is length times width.,The area of a rectangle is length plus width.,geometry,rectangle_area,"For a 5 by 2 rectangle, the formula would give an area of:\nChoices:\nA) 7\nB) 10","For a 5 by 2 rectangle, the area would be:\nChoices:\nA) 7\nB) 10",A,A,B,B
The area of a triangle is half its base times its height.,The area of a triangle is base times height.,geometry,triangle_area,"For a triangle with base 10 and height 10, the area formula would give:\nChoices:\nA) 50\nB) 100","For a triangle with base 10 and height 10, the area would be:\nChoices:\nA) 50\nB) 100",B,B,A,A
The circumference of a circle is 2πr.,The circumference of a circle is πr.,geometry,circle_circumference,The circumference of a circle is:\nChoices:\nA) half of its actual length\nB) equal to its actual length,The circle's circumference is:\nChoices:\nA) half of its actual length\nB) equal to its actual length,A,B,A,B
The sum of angles in a quadrilateral is 360 degrees.,The sum of angles in a quadrilateral is 180 degrees.,geometry,quadrilateral_anglesum,A four-sided shape:\nChoices:\nA) could have angles summing to 180°\nB) must have angles summing to 360°,A four-sided shape:\nChoices:\nA) could have angles summing to 180°\nB) must have angles summing to 360°,A,A,B,B
A scalene triangle has no equal sides.,A scalene triangle has two equal sides.,geometry,scalene_sides,A scalene triangle:\nChoices:\nA) may have two equal sides\nB) cannot have two equal sides,A scalene triangle:\nChoices:\nA) may have two equal sides\nB) cannot have two equal sides,A,A,B,B
An isosceles triangle has at least two equal sides.,An isosceles triangle has no equal sides.,geometry,isosceles_sides,An isosceles triangle:\nChoices:\nA) could have all sides different\nB) must have at least two equal sides,An isosceles triangle:\nChoices:\nA) could have all sides different\nB) must have at least two equal sides,A,A,B,B
All points on a circle are equidistant from the center.,Some points on a circle are closer to the center than others.,geometry,circle_radius,If you average two points on a circle:\nChoices:\nA) you cannot say where the average will land\nB) the average must be equal to the center,If you average two points on a circle:\nChoices:\nA) you cannot say where the average will land\nB) the average must be equal to the center,A,A,B,B
A square is a rectangle.,A square is not a rectangle.,geometry,square_rectangle,A square:\nChoices:\nA) must have four right angles\nB) does not have to have four right angles,A square:\nChoices:\nA) must have four right angles\nB) does not have to have four right angles,B,B,A,A
A square is a parallelogram.,A square is not a parallelogram.,geometry,square_parallelogram,A square:\nChoices:\nA) must have opposite sides parallel\nB) does not need opposite sides parallel,A square:\nChoices:\nA) must have opposite sides parallel\nB) does not need opposite sides parallel,B,B,A,A
A square is a rhombus.,A square is not a rhombus.,geometry,square_rhombus,A square:\nChoices:\nA) must have four equal sides\nB) does not need four equal sides,A square:\nChoices:\nA) must have four equal sides\nB) does not need four equal sides,B,B,A,A
A rectangle is a parallelogram.,A rectangle is not a parallelogram.,geometry,rectangle_parallelogram,A rectangle:\nChoices:\nA) must have opposite sides parallel\nB) does not need opposite sides parallel,A rectangle:\nChoices:\nA) must have opposite sides parallel\nB) does not need opposite sides parallel,B,B,A,A
A rhombus is a parallelogram.,A rhombus is not a parallelogram.,geometry,rhombus_parallelogram,A rhombus:\nChoices:\nA) must have opposite sides parallel\nB) does not need opposite sides parallel,A rhombus:\nChoices:\nA) must have opposite sides parallel\nB) does not need opposite sides parallel,B,B,A,A
A rectangle is a quadrilateral.,A rectangle is a triangle.,geometry,rectangle_quadrilateral,A rectangle:\nChoices:\nA) must have four sides\nB) does not need four sides,A rectangle:\nChoices:\nA) must have four sides\nB) does not need four sides,B,B,A,A
A triangle is a polygon.,A triangle is a quadrilateral.,geometry,triangle_is_polygon,A triangle:\nChoices:\nA) must have straight sides\nB) does not need to have straight sides,A triangle:\nChoices:\nA) must have straight sides\nB) does not need to have straight sides,B,B,A,A
A circle is an ellipse.,A circle is a polygon.,geometry,circle_ellipse,A circle:\nChoices:\nA) has two distinct focal points\nB) does not need two distinct focal points,A circle:\nChoices:\nA) has two distinct focal points\nB) does not need two distinct focal points,B,B,A,A
Parallel lines never intersect.,Parallel lines intersect.,geometry,parallel_lines,Parallel lines:\nChoices:\nA) will eventually meet\nB) will never meet,Parallel lines:\nChoices:\nA) will eventually meet\nB) will never meet,A,A,B,B
Perpendicular lines intersect at right angles.,Perpendicular lines do not intersect at right angles.,geometry,perpendicular_lines,Perpendicular lines:\nChoices:\nA) need not form a 90° angle\nB) must form a 90° angle,Perpendicular lines:\nChoices:\nA) need not form a 90° angle\nB) must form a 90° angle,A,A,B,B
A cube has 8 vertices.,A cube has 6 vertices.,geometry,cube_vertices,It is:\nChoices:\nA) not actually a cube\nB) still a cube,It is:\nChoices:\nA) not actually a cube\nB) still a cube,A,A,B,B
A reflex angle is more than 180 degrees.,A reflex angle is less than 180 degrees.,geometry,reflex_angle,A reflex angle:\nChoices:\nA) can be less than the sum of angles in a triangle\nB) is always more than the sum of angles in a triangle,A reflex angle:\nChoices:\nA) can be less than the sum of angles in a triangle\nB) is always more than the sum of angles in a triangle,A,A,B,B
A cylinder has two circular bases.,A cylinder has one circular base.,geometry,cylinder_bases,The object:\nChoices:\nA) is not a cylinder\nB) can still be a cylinder,The object:\nChoices:\nA) is not a cylinder\nB) can still be a cylinder,A,A,B,B
A meter is shorter than a kilometer.,A meter is longer than a kilometer.,measurement,meter_vs_kilometer,1 meter is:\nChoices:\nA) longer than 1 kilometer\nB) shorter than 1 kilometer,1 meter is:\nChoices:\nA) longer than 1 kilometer\nB) shorter than 1 kilometer,A,A,B,B
A centimeter is shorter than a meter.,A centimeter is longer than a meter.,measurement,centimeter_vs_meter,1 centimeter is:\nChoices:\nA) longer than 1 meter\nB) shorter than 1 meter,1 centimeter is:\nChoices:\nA) longer than 1 meter\nB) shorter than 1 meter,A,A,B,B
A kilogram is heavier than a gram.,A kilogram is lighter than a gram.,measurement,kilogram_vs_gram,1 kilogram is:\nChoices:\nA) heavier than 1 gram\nB) lighter than 1 gram,1 kilogram is:\nChoices:\nA) heavier than 1 gram\nB) lighter than 1 gram,A,A,B,B
A pound is heavier than an ounce.,A pound is lighter than an ounce.,measurement,pound_vs_ounce,1 pound is:\nChoices:\nA) heavier than 1 ounce\nB) lighter than 1 ounce,1 pound is:\nChoices:\nA) heavier than 1 ounce\nB) lighter than 1 ounce,A,A,B,B
A liter is less than a gallon.,A liter is more than a gallon.,measurement,liter_vs_gallon,1 liter is:\nChoices:\nA) more than 1 gallon\nB) less than 1 gallon,1 liter is:\nChoices:\nA) more than 1 gallon\nB) less than 1 gallon,A,A,B,B
A meter is longer than a foot.,A meter is shorter than a foot.,measurement,meter_vs_foot,1 meter is:\nChoices:\nA) longer than 1 foot\nB) shorter than 1 foot,1 meter is:\nChoices:\nA) longer than 1 foot\nB) shorter than 1 foot,B,B,A,A
A kilometer is shorter than a mile.,A kilometer is longer than a mile.,measurement,kilometer_vs_mile,1 kilometer is:\nChoices:\nA) longer than 1 mile\nB) shorter than 1 mile,1 kilometer is:\nChoices:\nA) longer than 1 mile\nB) shorter than 1 mile,A,A,B,B
An hour is shorter than a day.,An hour is longer than a day.,measurement,hour_vs_day,1 hour is:\nChoices:\nA) longer than 1 day\nB) shorter than 1 day,1 hour is:\nChoices:\nA) longer than 1 day\nB) shorter than 1 day,A,A,B,B
A minute is shorter than an hour.,A minute is longer than an hour.,measurement,minute_vs_hour,1 minute is:\nChoices:\nA) longer than 1 hour\nB) shorter than 1 hour,1 minute is:\nChoices:\nA) longer than 1 hour\nB) shorter than 1 hour,A,A,B,B
1 kilometer is 1000 meters.,1 kilometer is 100 meters.,measurement,kilometer_to_meter,1000 meters equal:\nChoices:\nA) 1 kilometer\nB) 10 kilometers,1000 meters equal:\nChoices:\nA) 1 kilometer\nB) 10 kilometers,B,B,A,A
1 meter is 100 centimeters.,1 meter is 10 centimeters.,measurement,meter_to_centimeter,100 centimeters make:\nChoices:\nA) 1 meter\nB) 10 meters,100 centimeters make:\nChoices:\nA) 1 meter\nB) 10 meters,B,B,A,A
1 foot is 12 inches.,1 foot is 10 inches.,measurement,foot_to_inch,120 inches equal:\nChoices:\nA) 10 feet\nB) 12 feet,120 inches equal:\nChoices:\nA) 10 feet\nB) 12 feet,A,B,A,B
1 pound is 16 ounces.,1 pound is 10 ounces.,measurement,pound_to_ounce,160 ounces equal:\nChoices:\nA) 10 pounds\nB) 16 pounds,160 ounces equal:\nChoices:\nA) 10 pounds\nB) 16 pounds,A,B,A,B
1 kilogram is 1000 grams.,1 kilogram is 100 grams.,measurement,kilogram_to_gram,1000 grams equal:\nChoices:\nA) 1 kilogram\nB) 10 kilograms,1000 grams equal:\nChoices:\nA) 1 kilogram\nB) 10 kilograms,B,B,A,A
1 liter is 1000 milliliters.,1 liter is 100 milliliters.,measurement,liter_to_milliliter,1000 milliliters equal:\nChoices:\nA) 1 liter\nB) 10 liters,1000 milliliters equal:\nChoices:\nA) 1 liter\nB) 10 liters,B,B,A,A
1 meter is 1000 millimeters.,1 meter is 100 millimeters.,measurement,meter_to_millimeter,1000 millimeters equal:\nChoices:\nA) 1 meter\nB) 10 meters,1000 millimeters equal:\nChoices:\nA) 1 meter\nB) 10 meters,B,B,A,A
1 centimeter is 10 millimeters.,1 centimeter is 100 millimeters.,measurement,centimeter_to_millimeter,100 millimeters equal:\nChoices:\nA) 1 centimeter\nB) 10 centimeters,100 millimeters equal:\nChoices:\nA) 1 centimeter\nB) 10 centimeters,A,A,B,B
1 hour is 60 minutes.,1 hour is 100 minutes.,measurement,hour_to_minute,300 minutes equal:\nChoices:\nA) 5 hours\nB) 3 hours,300 minutes equal:\nChoices:\nA) 5 hours\nB) 3 hours,A,B,A,B
1 minute is 60 seconds.,1 minute is 100 seconds.,measurement,minute_to_second,300 seconds equal:\nChoices:\nA) 5 minutes\nB) 3 minutes,300 seconds equal:\nChoices:\nA) 5 minutes\nB) 3 minutes,A,B,A,B
1 day is 24 hours.,1 day is 20 hours.,measurement,day_to_hour,120 hours equal:\nChoices:\nA) 5 days\nB) 6 days,120 hours equal:\nChoices:\nA) 5 days\nB) 6 days,A,B,A,B
1 week is 7 days.,1 week is 10 days.,measurement,week_to_day,70 days equal:\nChoices:\nA) 10 weeks\nB) 7 weeks,70 days equal:\nChoices:\nA) 10 weeks\nB) 7 weeks,A,B,A,B
A year has 12 months.,A year has 10 months.,measurement,year_months,A decade spans:\nChoices:\nA) 120 months\nB) 100 months,A decade spans:\nChoices:\nA) 120 months\nB) 100 months,A,B,A,B
A decade has 10 years.,A decade has 12 years.,measurement,decade_years,120 years equal:\nChoices:\nA) 12 decades\nB) 10 decades,120 years equal:\nChoices:\nA) 12 decades\nB) 10 decades,A,B,A,B
A century is 100 years.,A century is 1000 years.,measurement,century_years,1000 years equal:\nChoices:\nA) 10 centuries\nB) 1 century,1000 years equal:\nChoices:\nA) 10 centuries\nB) 1 century,A,B,A,B
1 mile is 5280 feet.,1 mile is 5000 feet.,measurement,mile_to_feet,5000 feet equal:\nChoices:\nA) 0.95 miles\nB) 1 mile,5280 feet equal:\nChoices:\nA) 1 mile\nB) 1.056 miles,A,B,A,B
Water boils at 100°C at sea level.,Water boils at 50°C at sea level.,measurement,boiling_point,"At sea level, heating water to 100°C will:\nChoices:\nA) guarantee boiling\nB) not guarantee boiling",Heating water to 100°C at sea level will:\nChoices:\nA) guarantee boiling\nB) not guarantee boiling,B,A,B,A
Water freezes at 0°C at sea level.,Water freezes at 10°C at sea level.,measurement,freezing_point,"At 0°C, water will:\nChoices:\nA) turn to ice\nB) remain liquid","At 0°C, water will:\nChoices:\nA) turn to ice\nB) remain liquid",B,A,B,A
Normal human body temperature is about 37°C.,Normal human body temperature is about 30°C.,measurement,body_temperature,A thermometer reading of 37°C would indicate:\nChoices:\nA) a fever\nB) normal body temperature,A reading of 37°C would indicate:\nChoices:\nA) a fever\nB) normal body temperature,A,B,A,B
Sound travels slower than light.,Sound travels faster than light.,measurement,sound_vs_light,"In a thunderstorm, you would:\nChoices:\nA) see lightning before hearing thunder\nB) hear thunder before seeing lightning",In a thunderstorm you would:\nChoices:\nA) see lightning before hearing thunder\nB) hear thunder before seeing lightning,A,B,A,B
Absolute zero is -273.15°C.,Absolute zero is 0°C.,measurement,absolute_zero,No object can be cooled below:\nChoices:\nA) 0°C\nB) -273.15°C,No object can be cooled below:\nChoices:\nA) 0°C\nB) -273.15°C,A,A,B,B
The Earth rotates once every 24 hours.,The Earth rotates once every 30 hours.,measurement,earth_rotation,After 24 hours the Earth will:\nChoices:\nA) not complete one rotation\nB) complete one rotation,After 24 hours the Earth will:\nChoices:\nA) not complete one rotation\nB) complete one rotation,A,B,A,B
The Earth orbits the Sun in about 365 days.,The Earth orbits the Sun in about 200 days.,measurement,earth_orbit,Seasons in one year would:\nChoices:\nA) change more quickly\nB) last the same as now,Seasons in one year would:\nChoices:\nA) change more quickly\nB) last the same as now,A,B,A,B
"The speed of light is about 300,000 km per second.",The speed of light is about 300 km per second.,measurement,light_speed,"To travel 300,000 km, light would take:\nChoices:\nA) about 1 second\nB) about 1000 seconds","To travel 300,000 km, light would take:\nChoices:\nA) about 1 second\nB) about 1000 seconds",B,A,B,A
A year has approximately 52 weeks.,A year has approximately 60 weeks.,measurement,year_weeks,One year lasts:\nChoices:\nA) ~52 weeks\nB) 60 weeks,One year lasts:\nChoices:\nA) ~52 weeks\nB) 60 weeks,B,A,B,A
100°C is 212°F.,100°C is 100°F.,measurement,100C_to_F,"At water's boiling point, a Fahrenheit thermometer would read:\nChoices:\nA) 212°\nB) 100°","At water's boiling point, a Fahrenheit thermometer would read:\nChoices:\nA) 212°\nB) 100°",B,A,B,A
0°C is 32°F.,0°C is 0°F.,measurement,0C_to_F,"At water's freezing point, a Fahrenheit thermometer would read:\nChoices:\nA) 32°\nB) 0°","At water's freezing point, a Fahrenheit thermometer would read:\nChoices:\nA) 32°\nB) 0°",B,A,B,A
Room temperature is about 20°C.,Room temperature is about 0°C.,measurement,room_temperature,20°C would feel:\nChoices:\nA) warm\nB) freezing,20°C would feel:\nChoices:\nA) warm\nB) freezing,A,B,A,B
A millennium is 1000 years.,A millennium is 100 years.,measurement,millennium_years,1000 years is:\nChoices:\nA) one millennium\nB) ten millennia,1000 years is:\nChoices:\nA) one millennium\nB) ten millennia,A,B,A,B
A nanosecond is one billionth of a second.,A nanosecond is one millionth of a second.,measurement,nanosecond,1 nanosecond is:\nChoices:\nA) shorter than 1 microsecond\nB) longer than 1 microsecond,1 nanosecond is:\nChoices:\nA) shorter than 1 microsecond\nB) longer than 1 microsecond,A,B,A,B
A microsecond is one millionth of a second.,A microsecond is one thousandth of a second.,measurement,microsecond,1 microsecond is:\nChoices:\nA) shorter than 1 millisecond\nB) longer than 1 millisecond,1 microsecond is:\nChoices:\nA) shorter than 1 millisecond\nB) longer than 1 millisecond,A,B,A,B
